policy,months,p_to_bc_input,p_eff_last,phase_last,impact_cum_end,BC_end,FS_end,employees_end,hires_total,A_end,m_end,avg_U,pct_months_U_pos,first_impact_month,fs_ratio_final,fs_target_final,fs_coverage_months_final,p_range_min_final,p_range_max_final,p_dyn_final,phase_final,lambda_in_phase_final,p_override_used
OVERRIDE_fixed_p,18,0.7,0.7,1.0,1182.5478660629985,6569.710367016658,844.677047187856,2,0,100.11819568876194,25.183838648397604,521.4055846838618,1.0,1.0,3.0,6000.0,0.42233852359392804,0.05,0.15,0.06407795078646428,1.0,0.1407795078646427,0.7
OVERRIDE_fixed_p,18,0.8,0.8,1.0,784.8170994847133,7474.4485665210805,560.5836424890808,2,0,100.07844248870411,25.121865488522552,519.0589282306305,1.0,1.0,3.0,6000.0,0.28029182124454044,0.05,0.15,0.059343060708151346,1.0,0.09343060708151348,0.8
OVERRIDE_fixed_p,18,0.9,0.9,1.0,390.64866739206326,8371.042872687072,279.03476242290236,2,0,100.03904534406716,25.06058951574921,516.7310415238934,1.0,1.0,3.0,6000.0,0.13951738121145119,0.05,0.15,0.05465057937371504,1.0,0.04650579373715039,0.9
OVERRIDE_fixed_p,24,0.1,0.1,1.0,4985.098455717368,1318.8091152691447,3560.784611226692,2,0,100.49826071521412,25.783843168992554,549.5037980288104,1.0,1.0,3.0,6000.0,1.780392305613346,0.05,0.15,0.10934641018711153,1.0,0.5934641018711153,0.1
OVERRIDE_fixed_p,24,0.2,0.2,1.0,4403.213463562676,2620.960394977783,3145.1524739733395,2,0,100.4401012957084,25.691149707021115,546.0334156203716,1.0,1.0,3.0,6000.0,1.5725762369866698,0.05,0.15,0.10241920789955566,1.0,0.5241920789955566,0.2
OVERRIDE_fixed_p,24,0.3,0.3,1.0,3828.6049625973415,3906.7397577523907,2734.717830426672,2,0,100.38266916167893,25.599928687930717,542.6027441322765,1.0,1.0,3.0,6000.0,1.367358915213336,0.05,0.15,0.0955786305071112,1.0,0.455786305071112,0.3
OVERRIDE_fixed_p,24,0.4,0.4,1.0,3261.1486550816667,5176.426436637567,2329.391896486905,2,0,100.32595188956336,25.51014767934822,539.2110871497466,1.0,1.0,3.0,6000.0,1.1646959482434525,0.05,0.15,0.08882319827478175,1.0,0.3882319827478175,0.4
OVERRIDE_fixed_p,24,0.5,0.5,1.0,2700.7231354898277,6430.293179737686,1929.087953921305,2,0,100.2699373448765,25.421775189383798,535.8577649781405,1.0,1.0,3.0,6000.0,0.9645439769606524,0.05,0.15,0.08215146589868841,1.0,0.32151465898688414,0.5
OVERRIDE_fixed_p,24,0.6,0.6,1.0,2147.2098041864556,7668.606443523055,1533.721288704611,2,0,100.21461367358182,25.33478063286179,532.5421141335455,1.0,1.0,3.0,6000.0,0.7668606443523055,0.05,0.15,0.07556202147841018,1.0,0.25562021478410185,0.6
OVERRIDE_fixed_p,24,0.7,0.7,1.0,1600.4927842409033,8891.62657911613,1143.2091316006454,2,0,100.15996929377724,25.249134298990867,529.2634868521505,1.0,1.0,3.0,6000.0,0.5716045658003227,0.05,0.15,0.06905348552667742,1.0,0.19053485526677424,0.7
OVERRIDE_fixed_p,24,0.8,0.8,1.0,1060.458841245035,10099.608011857481,757.4706008893106,2,0,100.10599288768066,25.164807320402858,526.021250617577,1.0,1.0,3.0,6000.0,0.3787353004446553,0.05,0.15,0.06262451001482185,1.0,0.12624510014821844,0.8
OVERRIDE_fixed_p,24,0.9,0.9,1.0,526.9973060070457,11292.799414436698,376.42664714788987,2,0,100.05267339390373,25.081771643493166,522.8147877054026,1.0,1.0,3.0,6000.0,0.18821332357394494,0.05,0.15,0.056273777452464833,1.0,0.06273777452464831,0.9
OVERRIDE_fixed_p,60,0.1,0.1,2.0,10232.484491020192,2707.00647910587,7308.917493585851,3,1,101.02273708056174,26.6353793382958,382.2090808116426,0.75,1.0,6.0,18000.0,2.4363058311952837,0.05,0.15,0.1312101943731761,1.0,0.8121019437317613,0.1
OVERRIDE_fixed_p,60,0.2,0.2,2.0,10184.276116232355,6062.069116804973,7274.482940165968,3,1,101.01791865229708,26.627552743395835,460.8916148113057,0.8333333333333334,1.0,6.0,18000.0,2.4248276467219894,0.05,0.15,0.13082758822406632,1.0,0.8082758822406632,0.2
OVERRIDE_fixed_p,60,0.3,0.3,2.0,10286.1361074433,10496.057252493167,7347.240076745217,3,1,101.02809956096388,26.64447716100898,570.6802192619946,0.95,1.0,6.0,18000.0,2.449080025581739,0.05,0.15,0.13163600085272464,1.0,0.8163600085272463,0.3
OVERRIDE_fixed_p,60,0.4,0.4,2.0,9226.585305610843,14645.37350096959,6590.418075436314,2,0,100.92219743184512,26.470330116582083,610.2238958737329,1.0,1.0,3.0,6000.0,3.2952090377181573,0.2,0.35,0.21476045188590787,2.0,0.0984030125727191,0.4
OVERRIDE_fixed_p,60,0.5,0.5,1.0,7557.904512895588,17995.010744989504,5398.50322349685,2,0,100.75541274491702,26.198258699297018,599.8336914996502,1.0,1.0,3.0,6000.0,2.699251611748425,0.05,0.15,0.1399750537249475,1.0,0.8997505372494751,0.5
OVERRIDE_fixed_p,60,0.6,0.6,1.0,5944.89076390649,21231.75272823745,4246.350545647492,2,0,100.59419198040041,25.937876702614687,589.7709091177073,1.0,1.0,3.0,6000.0,2.123175272823746,0.05,0.15,0.12077250909412486,1.0,0.7077250909412487,0.6
OVERRIDE_fixed_p,60,0.7,0.7,1.0,4384.94862733631,24360.825707423952,3132.1061623830797,2,0,100.43827572487125,25.688482094994537,580.01965970057,1.0,1.0,3.0,6000.0,1.5660530811915399,0.05,0.15,0.10220176937305134,1.0,0.5220176937305133,0.7
OVERRIDE_fixed_p,60,0.8,0.8,1.0,2875.6481370109723,27387.125114390212,2054.0343835792655,2,0,100.28742110314955,25.44942812632801,570.5651065497962,1.0,1.0,3.0,6000.0,1.0270171917896327,0.05,0.15,0.08423390639298775,1.0,0.34233906392987756,0.8
OVERRIDE_fixed_p,60,0.9,0.9,1.0,1414.7113108340554,30315.242375015485,1010.5080791671826,2,0,100.14140043086799,25.220117973988994,561.3933773151018,1.0,1.0,3.0,6000.0,0.5052540395835913,0.05,0.15,0.06684180131945304,1.0,0.16841801319453042,0.9
OVERRIDE_fixed_p,120,0.1,0.1,2.0,10232.484491020192,2707.00647910587,7308.917493585851,3,1,101.02273708056174,26.6353793382958,53.18720899381599,0.375,1.0,6.0,18000.0,2.4363058311952837,0.05,0.15,0.1312101943731761,1.0,0.8121019437317613,0.1
OVERRIDE_fixed_p,120,0.2,0.2,2.0,10184.276116232355,6062.069116804973,7274.482940165968,3,1,101.01791865229708,26.627552743395835,97.60337263832659,0.4166666666666667,1.0,6.0,18000.0,2.4248276467219894,0.05,0.15,0.13082758822406632,1.0,0.8082758822406632,0.2
OVERRIDE_fixed_p,120,0.3,0.3,2.0,10286.1361074433,10496.057252493167,7347.240076745217,3,1,101.02809956096388,26.64447716100898,160.99938419918192,0.475,1.0,6.0,18000.0,2.449080025581739,0.05,0.15,0.13163600085272464,1.0,0.8163600085272463,0.3
OVERRIDE_fixed_p,120,0.4,0.4,2.0,10174.560813525346,16150.096529405308,7267.543438232387,3,1,101.01694760754872,26.626196175536688,230.01511533723212,0.5416666666666666,1.0,6.0,18000.0,2.422514479410796,0.05,0.15,0.13075048264702654,1.0,0.8075048264702653,0.4
OVERRIDE_fixed_p,120,0.5,0.5,2.0,10083.924488785236,24009.344020917244,7202.803206275173,3,1,101.00788850462617,26.611375782785096,323.88883556779723,0.6333333333333333,1.0,6.0,18000.0,2.4009344020917243,0.05,0.15,0.13003114673639082,1.0,0.8003114673639081,0.5
OVERRIDE_fixed_p,120,0.6,0.6,2.0,10157.425245049768,36276.51873232058,7255.303746464122,3,1,101.01523490705138,26.623615804540123,466.60233583639445,0.775,1.0,6.0,18000.0,2.4184345821547075,0.05,0.15,0.13061448607182358,1.0,0.8061448607182359,0.6
OVERRIDE_fixed_p,120,0.7,0.7,2.0,10176.911192266267,56538.39551259035,7269.222280190189,3,1,101.01718252796276,26.626952473752898,672.2634018672619,0.9916666666666667,1.0,6.0,18000.0,2.4230740933967296,0.05,0.15,0.13076913644655763,1.0,0.8076913644655765,0.7
OVERRIDE_fixed_p,120,0.8,0.8,1.0,6620.179045859217,63049.32424627827,4728.699318470866,2,0,100.66168706105543,26.04675649037443,656.7637942320653,1.0,1.0,3.0,6000.0,2.364349659235433,0.05,0.15,0.12881165530784777,1.0,0.7881165530784777,0.8
OVERRIDE_fixed_p,120,0.9,0.9,1.0,3197.68713791161,68521.8672409631,2284.062241365436,2,0,100.31960890933651,25.500292233773667,634.4617337126216,1.0,1.0,3.0,6000.0,1.142031120682718,0.05,0.15,0.08806770402275726,1.0,0.3806770402275727,0.9
