months,A0,C_base,r_annual,alpha,margin_per_person,bond_capital_end,impact_cum,months_positive_u,pct_months_positive_u,first_impact_month,avg_u,avg_u_positive
12,100,2000.0,0.04,0.6,50.0,21839.191150862913,14559.460767241942,12,1.0,1.0,3033.220993175404,3033.220993175404
12,100,2000.0,0.04,0.5,50.0,18165.92011335119,18165.92011335119,12,1.0,1.0,3027.653352225198,3027.653352225198
18,100,2000.0,0.04,0.9,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
18,100,2000.0,0.04,0.8,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
18,100,2000.0,0.04,0.7,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
18,100,2000.0,0.04,0.6,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
18,100,2000.0,0.04,0.5,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
18,100,2000.0,0.04,0.9,15.0,0.0,0.0,0,0.0,,-500.0,0.0
18,100,2000.0,0.04,0.8,15.0,0.0,0.0,0,0.0,,-500.0,0.0
18,100,2000.0,0.04,0.7,15.0,0.0,0.0,0,0.0,,-500.0,0.0
18,100,2000.0,0.04,0.6,15.0,0.0,0.0,0,0.0,,-500.0,0.0
18,100,2000.0,0.04,0.5,15.0,0.0,0.0,0,0.0,,-500.0,0.0
18,100,2000.0,0.04,0.9,20.0,0.0,0.0,0,0.0,,0.0,0.0
18,100,2000.0,0.04,0.8,20.0,0.0,0.0,0,0.0,,0.0,0.0
18,100,2000.0,0.04,0.7,20.0,0.0,0.0,0,0.0,,0.0,0.0
18,100,2000.0,0.04,0.6,20.0,0.0,0.0,0,0.0,,0.0,0.0
18,100,2000.0,0.04,0.5,20.0,0.0,0.0,0,0.0,,0.0,0.0
18,100,2000.0,0.04,0.9,25.0,8309.892293344055,923.3213659271172,18,1.0,1.0,512.9563144039541,512.9563144039541
18,100,2000.0,0.04,0.8,25.0,7365.544451645564,1841.3861129113905,18,1.0,1.0,511.49614247538636,511.49614247538636
18,100,2000.0,0.04,0.7,25.0,6426.518628341547,2754.2222692892356,18,1.0,1.0,510.04116097948804,510.04116097948804
18,100,2000.0,0.04,0.6,25.0,5492.786585305227,3661.857723536818,18,1.0,1.0,508.59135049122466,508.59135049122466
18,100,2000.0,0.04,0.5,25.0,4564.320224920964,4564.320224920964,18,1.0,1.0,507.14669165788496,507.14669165788496
18,100,2000.0,0.04,0.9,30.0,16619.784586688114,1846.6427318542342,18,1.0,1.0,1025.9126288079083,1025.9126288079083
18,100,2000.0,0.04,0.8,30.0,14731.088903291131,3682.772225822782,18,1.0,1.0,1022.9922849507727,1022.9922849507727
18,100,2000.0,0.04,0.7,30.0,12853.0372566831,5508.44453857847,18,1.0,1.0,1020.0823219589761,1020.0823219589761
18,100,2000.0,0.04,0.6,30.0,10985.573170610453,7323.715447073637,18,1.0,1.0,1017.1827009824497,1017.1827009824497
18,100,2000.0,0.04,0.5,30.0,9128.640449841932,9128.640449841932,18,1.0,1.0,1014.2933833157703,1014.2933833157703
18,100,2000.0,0.04,0.9,40.0,33239.56917337623,3693.2854637084683,18,1.0,1.0,2051.8252576158166,2051.8252576158166
18,100,2000.0,0.04,0.8,40.0,29462.177806582262,7365.544451645564,18,1.0,1.0,2045.984569901546,2045.984569901546
18,100,2000.0,0.04,0.7,40.0,25706.074513366195,11016.889077156942,18,1.0,1.0,2040.164643917952,2040.164643917952
18,100,2000.0,0.04,0.6,40.0,21971.14634122091,14647.430894147274,18,1.0,1.0,2034.365401964899,2034.365401964899
18,100,2000.0,0.04,0.5,40.0,18257.280899683865,18257.280899683865,18,1.0,1.0,2028.5867666315405,2028.5867666315405
18,100,2000.0,0.04,0.9,50.0,49859.35376006435,5539.928195562703,18,1.0,1.0,3077.737886423725,3077.737886423725
18,100,2000.0,0.04,0.8,50.0,44193.266709873395,11048.316677468343,18,1.0,1.0,3068.976854852319,3068.976854852319
18,100,2000.0,0.04,0.7,50.0,38559.11177004929,16525.333615735417,18,1.0,1.0,3060.246965876928,3060.246965876928
18,100,2000.0,0.04,0.6,50.0,32956.719511831354,21971.14634122091,18,1.0,1.0,3051.548102947348,3051.548102947348
18,100,2000.0,0.04,0.5,50.0,27385.921349525797,27385.921349525797,18,1.0,1.0,3042.8801499473107,3042.8801499473107
24,100,2000.0,0.04,0.9,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
24,100,2000.0,0.04,0.8,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
24,100,2000.0,0.04,0.7,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
24,100,2000.0,0.04,0.6,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
24,100,2000.0,0.04,0.5,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
24,100,2000.0,0.04,0.9,15.0,0.0,0.0,0,0.0,,-500.0,0.0
24,100,2000.0,0.04,0.8,15.0,0.0,0.0,0,0.0,,-500.0,0.0
24,100,2000.0,0.04,0.7,15.0,0.0,0.0,0,0.0,,-500.0,0.0
24,100,2000.0,0.04,0.6,15.0,0.0,0.0,0,0.0,,-500.0,0.0
24,100,2000.0,0.04,0.5,15.0,0.0,0.0,0,0.0,,-500.0,0.0
24,100,2000.0,0.04,0.9,20.0,0.0,0.0,0,0.0,,0.0,0.0
24,100,2000.0,0.04,0.8,20.0,0.0,0.0,0,0.0,,0.0,0.0
24,100,2000.0,0.04,0.7,20.0,0.0,0.0,0,0.0,,0.0,0.0
24,100,2000.0,0.04,0.6,20.0,0.0,0.0,0,0.0,,0.0,0.0
24,100,2000.0,0.04,0.5,20.0,0.0,0.0,0,0.0,,0.0,0.0
24,100,2000.0,0.04,0.9,25.0,11180.927870003137,1242.3253188892377,24,1.0,1.0,517.6355495371824,517.6355495371824
24,100,2000.0,0.04,0.8,25.0,9900.238622778616,2475.059655694653,24,1.0,1.0,515.6374282697194,515.6374282697194
24,100,2000.0,0.04,0.7,25.0,8629.304535032665,3698.2733721568566,24,1.0,1.0,513.6490794662301,513.6490794662301
24,100,2000.0,0.04,0.6,25.0,7368.054507717996,4912.036338478663,24,1.0,1.0,511.67045192486074,511.67045192486074
24,100,2000.0,0.04,0.5,25.0,6116.417936591997,6116.417936591997,24,1.0,1.0,509.7014947159998,509.7014947159998
24,100,2000.0,0.04,0.9,30.0,22361.855740006282,2484.650637778475,24,1.0,1.0,1035.2710990743649,1035.2710990743649
24,100,2000.0,0.04,0.8,30.0,19800.47724555723,4950.119311389307,24,1.0,1.0,1031.2748565394388,1031.2748565394388
