horizon,A0,m0,time_to_fs3,time_to_fs6,time_to_fs12,viable_fs3,viable_fs6,viable_fs12,impact_cum_end,FS_end,BC_end,employees_end,pct_months_U_pos,avg_U,A_end,m_end,p_eff_last,phase_final,fs_cov_final
60,10.0,75.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1250.0,10.0,75.0,,1.0,0.0
60,10.0,100.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1000.0,10.0,100.0,,1.0,0.0
60,10.0,150.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-500.0,10.0,150.0,,1.0,0.0
60,10.0,250.0,34.0,,,0,0,0,10152.232826789786,7251.594876278417,3295.9243666118173,3,0.65,446.42065828914866,11.014715924716613,266.2196313147357,0.22576064604190327,1.0,2.417198292092806
60,25.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1875.0,25.0,5.0,,1.0,0.0
60,25.0,10.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1750.0,25.0,10.0,,1.0,0.0
60,25.0,15.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1625.0,25.0,15.0,,1.0,0.0
60,25.0,20.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1500.0,25.0,20.0,,1.0,0.0
60,25.0,25.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1375.0,25.0,25.0,,1.0,0.0
60,25.0,40.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1000.0,25.0,40.0,,1.0,0.0
60,25.0,50.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-750.0,25.0,50.0,,1.0,0.0
60,25.0,75.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-125.0,25.0,75.0,,1.0,0.0
60,25.0,100.0,37.0,,,1,0,0,10141.762020964008,7244.115729260005,3299.280823344975,3,0.7166666666666667,402.2228173239663,26.013669367412707,106.48152160981684,0.22648083108119965,1.0,2.4147052430866682
60,25.0,150.0,12.0,48.0,,1,1,0,30946.103309861028,22104.3595070436,21909.87736320229,4,1.0,1593.1845953335715,27.390965805193378,173.9302096761219,0.32401484776826095,2.0,5.526089876760899
60,25.0,250.0,5.0,18.0,,1,1,0,67330.50335955224,48093.21668539447,62605.973727852106,7,1.0,3715.278266875005,28.803294045221314,316.2656241294974,0.3266521604821898,3.0,6.870459526484924
60,50.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1750.0,50.0,5.0,,1.0,0.0
60,50.0,10.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1500.0,50.0,10.0,,1.0,0.0
60,50.0,15.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1250.0,50.0,15.0,,1.0,0.0
60,50.0,20.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1000.0,50.0,20.0,,1.0,0.0
60,50.0,25.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-750.0,50.0,25.0,,1.0,0.0
60,50.0,40.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,0.0,50.0,40.0,,1.0,0.0
